Query,Response
"What are the office hours?","Our office hours are from 9 AM to 6 PM, Monday through Friday."
"How do I find the employee handbook?","You can find the employee handbook on the company intranet under the HR section."
"How many vacation days do I have left?","You can check your remaining vacation days on the HR portal under 'My Leave Balance'. If you need further assistance, please contact HR."
"How do I apply for maternity leave?","To apply for maternity leave, please fill out the maternity leave request form available on the HR portal and submit it to your manager for approval."
"When is the next payday?","The next payday is on the last working day of the month."
"How do I change my bank account for salary deposits?","To change your bank account details, please update your information on the HR portal under 'Payroll Information' or contact the payroll department."
"What should I do if I get injured at work?","If you get injured at work, report the injury to your supervisor immediately and seek medical attention if necessary. Fill out an incident report form available on the HR portal."
"What are the COVID-19 protocols in the office?","Please follow the COVID-19 protocols outlined in the health and safety section on the company intranet. This includes wearing masks, maintaining social distance, and regular hand sanitization."
"Are there any upcoming training sessions?","You can find the schedule for upcoming training sessions on the HR portal under 'Training Calendar'."
"How do I enroll in a professional development course?","To enroll in a professional development course, visit the 'Training and Development' section on the HR portal and select the course you're interested in."
"How do I report workplace harassment?","To report workplace harassment, please contact the HR department directly or use the anonymous reporting tool available on the HR portal."
"What is the process for filing a grievance?","To file a grievance, please complete the grievance form available on the HR portal and submit it to the HR department. You will be contacted for a follow-up meeting."
"How do I access my performance review?","You can access your performance review on the HR portal under 'My Performance'. If you have any questions, please contact your manager."
"What is the process for setting goals for the new quarter?","To set goals for the new quarter, use the goal-setting tool on the HR portal under 'Performance Management' and discuss them with your manager."
"How do I nominate someone for an employee recognition award?","To nominate someone for an employee recognition award, fill out the nomination form on the HR portal under 'Employee Recognition'."
"What are the criteria for receiving a performance bonus?","The criteria for receiving a performance bonus include meeting or exceeding your performance goals, contributing to team success, and demonstrating company values. Details are available in the 'Compensation' section on the HR portal."
