Query,Response
"What are the office hours?","Our office hours are from 9:30 AM to 6:30 PM, Monday through Friday."
"How do I find the employee handbook?","You can find the employee handbook on the company intranet under the HR section."
"How many vacation days do I have left?","You can check your remaining vacation days on the HR portal under 'My Leave Balance'. If you need further assistance, please contact HR."
"How do I apply for maternity leave?","To apply for maternity leave, please fill out the maternity leave request form available on the HR portal and submit it to your manager for approval."
"When is the next payday?","The next payday is on the last working day of the month."
"How do I change my bank account for salary deposits?","To change your bank account details, please update your information on the HR portal under 'Payroll Information' or contact the payroll department."
"What should I do if I get injured at work?","If you get injured at work, report the injury to your supervisor immediately and seek medical attention if necessary. Fill out an incident report form available on the HR portal."
"What are the COVID-19 protocols in the office?","Please follow the COVID-19 protocols outlined in the health and safety section on the company intranet. This includes wearing masks, maintaining social distance, and regular hand sanitization."
"Are there any upcoming training sessions?","You can find the schedule for upcoming training sessions on the HR portal under 'Training Calendar'."
"How do I enroll in a professional development course?","To enroll in a professional development course, visit the 'Training and Development' section on the HR portal and select the course you're interested in."
"How do I report workplace harassment?","To report workplace harassment, please contact the HR department directly or use the anonymous reporting tool available on the HR portal."
"What is the process for filing a grievance?","To file a grievance, please complete the grievance form available on the HR portal and submit it to the HR department. You will be contacted for a follow-up meeting."
"How do I access my performance review?","You can access your performance review on the HR portal under 'My Performance'. If you have any questions, please contact your manager."
"What is the process for setting goals for the new quarter?","To set goals for the new quarter, use the goal-setting tool on the HR portal under 'Performance Management' and discuss them with your manager."
"How do I nominate someone for an employee recognition award?","To nominate someone for an employee recognition award, fill out the nomination form on the HR portal under 'Employee Recognition'."
"What are the criteria for receiving a performance bonus?","The criteria for receiving a performance bonus include meeting or exceeding your performance goals, contributing to team success, and demonstrating company values. Details are available in the 'Compensation' section on the HR portal."
"What are the responsibilities of employees or contractors when they plan to work from a location other than their base office?","Employees or contractors planning to work from any location other than their base office location will be considered as working from a remote location. They must notify management via email before relocating from their remote work location."
"Who should they notify for remote work policy, and how?","They need to send an email to both HR Support at hrsupport@pursuitsoftware.biz and Technical Support at techsupport@pursuitsoftware.biz."
"What happens if someone doesn't comply with this policy?","Pursuit Software reserves the right to take appropriate disciplinary action for noncompliance with this policy."
"What equipment is required for remote work?","A secure, up-to-date computer or laptop that meets our hardware and software requirements,Depending on job requirements, a company-issued or personal mobile device may be necessary for accessing corporate applications or for communication."
"What about internet connectivity?","Primary Internate connection should be your main source of connectivity during regular work hours and must have sufficient bandwidth to support work-related activities, such as video conferences, emails, and other online tools,In case your primary connection experiences downtime. Backup should be from a different service provider or a separate network to minimize the likelihood of simultaneous failures."
"What are the requirements for certification to be eligible for reimbursement?","For certification to be eligible for reimbursement, it must be done on the company's recommendation."
"Who pays for the certification or exam fees initially?","The employee must initially pay for the certification or exam fees."
"What are the conditions for reimbursement?","To be eligible for reimbursement:1.The employee must pass the certification exam. 2.If the employee fails the exam, they may take a second attempt. In this case, the reimbursement will be for the maximum of the two exam fees (either the first attempt or the retake). 3.If the employee fails the exam a second time, there will be no reimbursement for any attempt."
"When will the fees be reimbursed?","The fees will be reimbursed 90 days after the date of certification."
"What happens if I fail the exam on my first attempt?","If you fail the exam on your first attempt, you can take a second attempt. The reimbursement will cover the maximum of the two exam fees (either the first attempt or the retake)."
"And if I fail the second attempt?","If you fail the second attempt, there will be no reimbursement for any attempt."
"I have a question about salary increments.","I understand that salary increments are an important topic. However, I’m not equipped to provide detailed information on that. I can connect you with our HR team who can assist you further."
"How do I request time off?","To request time off, log into Keka, navigate to the 'Leave' section, and submit your request. Your manager will review and approve it."
"Where can I find my payslips?","You can find your payslips on Keka under the 'Payroll' section. They are available for download and review."
"How do I update my emergency contact information?","You can update your emergency contact information on Keka by going to the 'Profile' section and editing your details."
"What is the procedure for requesting a salary advance?","To request a salary advance, log into Keka, go to the 'Finance' section, and fill out the salary advance request form. Submit it for approval."
"How do I access company announcements?","Company announcements can be accessed on Keka under the 'Announcements' section. You can also receive notifications through the Keka app."
"Where can I find information about my health insurance plan?","Information about your health insurance plan is available on Keka in the 'Benefits' section. You can view plan details and contact information there."
"How do I apply for paternity leave?","To apply for paternity leave, log into Keka, navigate to the 'Leave' section, and submit the paternity leave request form for approval."
"What is the process for changing my work schedule?","To change your work schedule, discuss with your manager and update your work hours on Keka under the 'Attendance' section after approval."
"How do I submit feedback about the workplace?","To submit feedback about the workplace, use the 'Feedback' feature on Keka. You can provide anonymous or attributed feedback."
"Where can I find the company holiday calendar?","The company holiday calendar is available on Keka under the 'Calendar' section. It lists all the official holidays for the year."
"How do I track my project hours?","You can track your project hours on Keka by going to the 'Timesheet' section and logging your hours worked on each project."
"What should I do if I experience technical issues with Keka?","If you experience technical issues with Keka, please contact the IT support team at contact@pursuitsoftware.biz or call 03323575777 for assistance."
"How do I update my tax withholding information?","To update your tax withholding information, log into Keka and navigate to the 'Payroll' section where you can update your tax details."
"What are the options for career development within the company?","Career development options within the company are detailed on Keka under the 'Career Development' section. This includes mentorship programs, training courses, and promotion pathways."
"How do I report a technical issue with my workstation?","To report a technical issue with your workstation, log a ticket through the 'Helpdesk' section on Keka or contact the IT support team directly."
"What is the process for resigning from the company?","To resign from the company, submit your resignation letter through Keka under the 'Resignation' section. Follow the outlined steps for a smooth transition."
"How do I get a certificate of employment?","To request a certificate of employment, log into Keka, navigate to the 'Requests' section, and fill out the 'Certificate of Employment' request form."
"How do I access my training history?","You can access your training history on Keka under the 'Learning and Development' section. It will list all the courses and programs you have completed."
"What is the process for getting a parking permit?","To get a parking permit, fill out the parking permit request form available on Keka under the 'Facilities' section and submit it for approval."
"What should I do if I lose my employee ID card?","If you lose your employee ID card, report it immediately on Keka under the 'Security' section and request a replacement."


